id,type,magasin,adresse,ville,region,equipement,equipement_id,netsuite_id,planifie,heure,tech_id,opened_at
NS-10117,preventif,Subway Sherbrooke,"389 rue King Est, Sherbrooke, QC",Sherbrooke,Estrie,Distributeur à eau chaude,22,NS-10117,0,,,2026-07-01
NS-10118,preventif,Restaurant du Parc Trois-Rivières,"406 rue Hart, Trois-Rivières, QC",Trois-Rivières,Mauricie,Hotte,10,NS-10118,0,,,2026-07-20
NS-10119,preventif,IGA Extra Victoriaville,"423 boulevard des Bois-Francs, Victoriaville, QC",Victoriaville,Centre-du-Québec,Lave-vaisselle,26,NS-10119,0,,,2026-07-01
NS-10120,preventif,Harvey's Sorel-Tracy,"440 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Café filtre,5,NS-10120,0,,,2026-07-20
NS-10121,preventif,Tim Hortons Sorel-Tracy,"457 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Espresso,2,NS-10121,0,,,2026-08-05
NS-10122,preventif,Harvey's Trois-Rivières,"474 boulevard des Récollets, Trois-Rivières, QC",Trois-Rivières,Mauricie,Filtration d'eau,6,NS-10122,0,,,2026-07-01
NS-10123,preventif,Couche-Tard Drummondville,"491 rue Power, Drummondville, QC",Drummondville,Centre-du-Québec,Four à Convection,14,NS-10123,0,,,2026-08-05
NS-10124,preventif,IGA Extra Sorel-Tracy,"508 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Four Combi,9,NS-10124,0,,,2026-07-01
NS-10125,preventif,Subway Drummondville,"525 boulevard Saint-Joseph, Drummondville, QC",Drummondville,Centre-du-Québec,KIT ENTRETIEN,34,NS-10125,0,,,2026-07-01
NS-10126,preventif,Dépanneur 7 jours Sorel-Tracy,"542 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Krystaline,29,NS-10126,0,,,2026-07-20
NS-10127,preventif,Couche-Tard Sorel-Tracy,"559 rue du Prince, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Machine à Glace,15,NS-10127,0,,,2026-07-20
NS-10128,preventif,Subway Sorel-Tracy,"576 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Moulin,17,NS-10128,0,,,2026-07-20
NS-10129,preventif,Dépanneur 7 jours Shawinigan,"593 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Réfrigérateur,28,NS-10129,0,,,2026-08-05
NS-10130,preventif,Harvey's Sorel-Tracy,"610 rue du Prince, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Roller Grill,4,NS-10130,0,,,2026-07-01
NS-10131,preventif,Métro Sorel-Tracy,"627 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Thermos,19,NS-10131,0,,,2026-07-20
NS-10132,preventif,A&W Trois-Rivières,"644 rue des Forges, Trois-Rivières, QC",Trois-Rivières,Mauricie,Distributeur à eau chaude,22,NS-10132,0,,,2026-07-01
NS-10133,preventif,Starbucks Nicolet,"661 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,Hotte,10,NS-10133,0,,,2026-08-05
NS-10134,preventif,Starbucks Nicolet,"678 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,Lave-vaisselle,26,NS-10134,0,,,2026-07-20
NS-10135,preventif,Brûlerie locale Nicolet,"695 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,Café filtre,5,NS-10135,0,,,2026-07-20
NS-10136,preventif,Dépanneur 7 jours Trois-Rivières,"712 rue des Forges, Trois-Rivières, QC",Trois-Rivières,Mauricie,Espresso,2,NS-10136,0,,,2026-07-20
NS-10137,preventif,Tim Hortons Shawinigan,"729 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Filtration d'eau,6,NS-10137,0,,,2026-07-01
NS-10138,preventif,Subway Shawinigan,"746 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Four à Convection,14,NS-10138,0,,,2026-07-01
NS-10139,preventif,Couche-Tard Shawinigan,"763 3e Rue, Shawinigan, QC",Shawinigan,Mauricie,Four Combi,9,NS-10139,0,,,2026-07-20
NS-10140,preventif,Tim Hortons Magog,"780 rue Merry Nord, Magog, QC",Magog,Estrie,KIT ENTRETIEN,34,NS-10140,0,,,2026-07-01
NS-10141,preventif,Harvey's Bécancour,"797 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Krystaline,29,NS-10141,0,,,2026-07-20
NS-10142,preventif,Dépanneur 7 jours Victoriaville,"814 rue Laurier, Victoriaville, QC",Victoriaville,Centre-du-Québec,Machine à Glace,15,NS-10142,0,,,2026-07-20
NS-10143,preventif,McDonald's Magog,"831 rue Merry Nord, Magog, QC",Magog,Estrie,Moulin,17,NS-10143,0,,,2026-08-05
NS-10144,preventif,Starbucks Sherbrooke,"848 rue King Ouest, Sherbrooke, QC",Sherbrooke,Estrie,Réfrigérateur,28,NS-10144,0,,,2026-08-05
NS-10145,preventif,A&W Shawinigan,"865 3e Rue, Shawinigan, QC",Shawinigan,Mauricie,Roller Grill,4,NS-10145,0,,,2026-08-05
NS-10146,preventif,McDonald's Shawinigan,"882 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Thermos,19,NS-10146,0,,,2026-07-01
NS-10147,preventif,Dépanneur 7 jours Trois-Rivières,"899 rue Hart, Trois-Rivières, QC",Trois-Rivières,Mauricie,Distributeur à eau chaude,22,NS-10147,0,,,2026-07-20
NS-10148,preventif,A&W Sorel-Tracy,"916 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Hotte,10,NS-10148,0,,,2026-07-20
NS-10149,preventif,Tim Hortons Sorel-Tracy,"933 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Lave-vaisselle,26,NS-10149,0,,,2026-07-20
NS-10150,preventif,Métro Sorel-Tracy,"950 rue Augusta, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Café filtre,5,NS-10150,0,,,2026-07-20
NS-10151,preventif,Restaurant du Parc Sherbrooke,"967 rue King Ouest, Sherbrooke, QC",Sherbrooke,Estrie,Espresso,2,NS-10151,0,,,2026-07-01
NS-10152,preventif,A&W Sherbrooke,"984 rue King Est, Sherbrooke, QC",Sherbrooke,Estrie,Filtration d'eau,6,NS-10152,0,,,2026-07-20
NS-10153,preventif,Starbucks Sorel-Tracy,"1001 rue du Prince, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Four à Convection,14,NS-10153,0,,,2026-07-20
NS-10154,preventif,Subway Shawinigan,"1018 3e Rue, Shawinigan, QC",Shawinigan,Mauricie,Four Combi,9,NS-10154,0,,,2026-08-05
NS-10155,preventif,Dépanneur 7 jours Victoriaville,"1035 rue Laurier, Victoriaville, QC",Victoriaville,Centre-du-Québec,KIT ENTRETIEN,34,NS-10155,0,,,2026-08-05
NS-10156,preventif,Starbucks Sherbrooke,"1052 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,Krystaline,29,NS-10156,0,,,2026-07-20
NS-10157,preventif,Dépanneur 7 jours Trois-Rivières,"1069 rue des Forges, Trois-Rivières, QC",Trois-Rivières,Mauricie,Machine à Glace,15,NS-10157,0,,,2026-07-01
NS-10158,preventif,Brûlerie locale Sherbrooke,"1086 rue King Ouest, Sherbrooke, QC",Sherbrooke,Estrie,Moulin,17,NS-10158,0,,,2026-07-01
