id,type,magasin,adresse,ville,region,equipement,equipement_id,netsuite_id,planifie,heure,tech_id,opened_at
NS-10078,preventif,Aréna municipal Drummondville,"400 boulevard Saint-Joseph, Drummondville, QC",Drummondville,Centre-du-Québec,Filtration d'eau,6,NS-10078,0,,,2026-07-15
NS-10079,preventif,Dépanneur 7 jours Bécancour,"1659 rue de l'Industrie, Bécancour, QC",Bécancour,Centre-du-Québec,Café filtre,5,NS-10079,0,,,2026-07-15
NS-10080,preventif,La Belle Province — Rue Hart,"686 rue Hart, Trois-Rivières, QC",Trois-Rivières,Mauricie,CT CUR-GEM3IF,32,NS-10080,0,,,2026-07-15
NS-10081,preventif,La Belle Province Victoriaville,"830 boulevard Jutras, Victoriaville, QC",Victoriaville,Centre-du-Québec,Grille-Pain,11,NS-10081,0,,,2026-08-10
NS-10082,preventif,École secondaire Victoriaville,"1022 rue de l'Aqueduc, Victoriaville, QC",Victoriaville,Centre-du-Québec,Thermos,19,NS-10082,0,,,2026-07-15
NS-10083,preventif,CLSC Magog,"519 rue Principale Ouest, Magog, QC",Magog,Estrie,CT CUR-GEM3IF,32,NS-10083,0,,,2026-08-01
NS-10084,preventif,CLSC — Boulevard Louis-Fréchette,"1335 boulevard Louis-Fréchette, Nicolet, QC",Nicolet,Centre-du-Québec,Site,1,NS-10084,0,,,2026-07-01
NS-10085,preventif,A&W Trois-Rivières,"739 rue Hart, Trois-Rivières, QC",Trois-Rivières,Mauricie,Accessoire TP,30,NS-10085,0,,,2026-08-01
NS-10086,preventif,Dépanneur 7 jours Victoriaville,"783 rue de l'Aqueduc, Victoriaville, QC",Victoriaville,Centre-du-Québec,Réchaud,3,NS-10086,0,,,2026-08-01
NS-10087,preventif,Dépanneur 7 jours Thetford Mines,"777 rue Notre-Dame Est, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,KIT ENTRETIEN,34,NS-10087,0,,,2026-08-10
NS-10088,preventif,Dépanneur 7 jours — Rue Royale,"1372 rue Royale, Trois-Rivières, QC",Trois-Rivières,Mauricie,Panini,23,NS-10088,0,,,2026-08-10
NS-10089,preventif,McDonald's Sorel-Tracy,"1801 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Distributrice,25,NS-10089,0,,,2026-08-01
NS-10090,preventif,A&W Sherbrooke,"848 rue Wellington Nord, Sherbrooke, QC",Sherbrooke,Estrie,Four Micro-onde,13,NS-10090,0,,,2026-08-10
NS-10091,preventif,Restaurant du Parc — Boulevard Bécancour,"1758 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Distributeur lait/crème,8,NS-10091,0,,,2026-08-01
NS-10092,preventif,Tim Hortons — Rue Notre-Dame Est,"275 rue Notre-Dame Est, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Distributeur lait/crème,8,NS-10092,0,,,2026-08-10
NS-10093,preventif,CLSC Sorel-Tracy,"999 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Thermos,19,NS-10093,0,,,2026-08-01
NS-10094,preventif,Subway Magog,"1093 rue Principale Ouest, Magog, QC",Magog,Estrie,Café filtre,5,NS-10094,0,,,2026-07-15
NS-10095,preventif,École secondaire Magog,"569 rue Merry Nord, Magog, QC",Magog,Estrie,Grille-Pain,11,NS-10095,0,,,2026-07-15
NS-10096,preventif,École secondaire Bécancour,"1096 rue de l'Industrie, Bécancour, QC",Bécancour,Centre-du-Québec,Frigo à Condiments,18,NS-10096,0,,,2026-08-01
NS-10097,preventif,Tim Hortons — 3E Rue,"391 3e Rue, Shawinigan, QC",Shawinigan,Mauricie,BW3 Désinstallé,38,NS-10097,0,,,2026-07-15
NS-10098,preventif,McDonald's Trois-Rivières,"650 rue Hart, Trois-Rivières, QC",Trois-Rivières,Mauricie,Distributrice,25,NS-10098,0,,,2026-08-01
NS-10099,preventif,Métro — Boulevard De Portland,"603 boulevard de Portland, Sherbrooke, QC",Sherbrooke,Estrie,Thé,21,NS-10099,0,,,2026-08-10
NS-10100,preventif,Métro — Rue Royale,"195 rue Royale, Trois-Rivières, QC",Trois-Rivières,Mauricie,Polar-pop,33,NS-10100,0,,,2026-07-15
NS-10101,preventif,CLSC Bécancour,"569 rue de l'Industrie, Bécancour, QC",Bécancour,Centre-du-Québec,Table chaude,40,NS-10101,0,,,2026-07-01
NS-10102,preventif,CLSC — Rue Des Forges,"594 rue des Forges, Drummondville, QC",Drummondville,Centre-du-Québec,Réfrigérateur,28,NS-10102,0,,,2026-08-01
NS-10103,preventif,Cafeteria industrielle — Rue De L'Éclipse,"383 rue de l'Éclipse, Drummondville, QC",Drummondville,Centre-du-Québec,Panini,23,NS-10103,0,,,2026-08-10
NS-10104,preventif,Dollarama Shawinigan,"903 boulevard Royal, Shawinigan, QC",Shawinigan,Mauricie,Réfrigérateur,28,NS-10104,0,,,2026-07-01
NS-10105,preventif,Brûlerie locale — Rue Notre-Dame,"1761 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,ADMIN,37,NS-10105,0,,,2026-07-01
NS-10106,preventif,Métro — Rue Du Portage,"1747 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,Réchaud,3,NS-10106,0,,,2026-08-10
NS-10107,preventif,McDonald's Sorel-Tracy,"1154 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Distributrice,25,NS-10107,0,,,2026-07-01
NS-10108,preventif,Hôtel Le Dauphin — Boulevard Louis-Fréchette,"774 boulevard Louis-Fréchette, Nicolet, QC",Nicolet,Centre-du-Québec,Réchaud,3,NS-10108,0,,,2026-08-10
NS-10109,preventif,CLSC — 3E Rue,"1551 3e Rue, Shawinigan, QC",Shawinigan,Mauricie,Distributrice,25,NS-10109,0,,,2026-07-15
NS-10110,preventif,La Belle Province — Boulevard Frontenac,"618 boulevard Frontenac, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Four Micro-onde,13,NS-10110,0,,,2026-08-01
NS-10111,preventif,Dollarama Bécancour,"204 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Thermos,19,NS-10111,0,,,2026-08-10
NS-10112,preventif,Subway — Boulevard Bécancour,"261 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,CT CUR-GEM3IF,32,NS-10112,0,,,2026-07-15
NS-10113,preventif,Restaurant du Parc Sherbrooke,"1072 rue Wellington Nord, Sherbrooke, QC",Sherbrooke,Estrie,Site,1,NS-10113,0,,,2026-08-01
NS-10114,preventif,A&W — Rue Heriot,"1556 rue Heriot, Drummondville, QC",Drummondville,Centre-du-Québec,Réchaud,3,NS-10114,0,,,2026-08-10
NS-10115,preventif,Métro Shawinigan,"1838 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Moulin,17,NS-10115,0,,,2026-07-15
NS-10116,preventif,Aréna municipal Sherbrooke,"1889 boulevard de Portland, Sherbrooke, QC",Sherbrooke,Estrie,Roller Grill,4,NS-10116,0,,,2026-07-15
NS-10117,preventif,Hôtel Le Dauphin Nicolet,"1413 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,Moulin,17,NS-10117,0,,,2026-08-01
NS-10118,preventif,Couche-Tard Drummondville,"591 boulevard Saint-Joseph, Drummondville, QC",Drummondville,Centre-du-Québec,Cappuccino Glacé,16,NS-10118,0,,,2026-08-10
NS-10119,preventif,Aréna municipal — Rue Des Forges,"1431 rue des Forges, Trois-Rivières, QC",Trois-Rivières,Mauricie,Distributeur à eau chaude,22,NS-10119,0,,,2026-08-10
NS-10120,preventif,CLSC Sherbrooke,"873 rue King Est, Sherbrooke, QC",Sherbrooke,Estrie,Espresso,2,NS-10120,0,,,2026-08-01
NS-10121,preventif,Hôtel Le Dauphin — 9E Rue Sud,"1357 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Lassonde,39,NS-10121,0,,,2026-08-01
NS-10122,preventif,Brûlerie locale — Boulevard Des Bois-Francs,"25 boulevard des Bois-Francs, Victoriaville, QC",Victoriaville,Centre-du-Québec,Slush,42,NS-10122,0,,,2026-08-10
NS-10123,preventif,McDonald's — Rue Merry Nord,"1686 rue Merry Nord, Magog, QC",Magog,Estrie,Boissons en fontaine,27,NS-10123,0,,,2026-08-01
NS-10124,preventif,Subway Thetford Mines,"205 boulevard Frontenac, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Distributeur à sucre,20,NS-10124,0,,,2026-07-15
NS-10125,preventif,Couche-Tard Nicolet,"1321 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,BW3 Désinstallé,38,NS-10125,0,,,2026-07-01
NS-10126,preventif,A&W Nicolet,"130 boulevard Louis-Fréchette, Nicolet, QC",Nicolet,Centre-du-Québec,K-Cup,24,NS-10126,0,,,2026-07-15
NS-10127,preventif,CLSC Thetford Mines,"379 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Machine à Glace,15,NS-10127,0,,,2026-08-10
NS-10128,preventif,IGA Extra Drummondville,"232 rue Cockburn, Drummondville, QC",Drummondville,Centre-du-Québec,Thermos,19,NS-10128,0,,,2026-07-01
NS-10129,preventif,Tim Hortons Drummondville,"991 rue Heriot, Drummondville, QC",Drummondville,Centre-du-Québec,Panini,23,NS-10129,0,,,2026-08-10
NS-10130,preventif,Brûlerie locale Victoriaville,"615 boulevard Jutras, Victoriaville, QC",Victoriaville,Centre-du-Québec,Distributeur à sucre,20,NS-10130,0,,,2026-07-01
NS-10131,preventif,École secondaire Sorel-Tracy,"507 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Four à Convection,14,NS-10131,0,,,2026-07-01
NS-10132,preventif,Harvey's — Avenue Des Érables,"1156 avenue des Érables, Bécancour, QC",Bécancour,Centre-du-Québec,Réfrigérateur,28,NS-10132,0,,,2026-07-01
NS-10133,preventif,Couche-Tard Bécancour,"557 avenue des Érables, Bécancour, QC",Bécancour,Centre-du-Québec,Four Micro-onde,13,NS-10133,0,,,2026-08-10
NS-10134,preventif,Couche-Tard Nicolet,"144 rue du Portage, Nicolet, QC",Nicolet,Centre-du-Québec,Four Micro-onde,13,NS-10134,0,,,2026-08-10
NS-10135,preventif,Couche-Tard — Rue De L'Aqueduc,"768 rue de l'Aqueduc, Victoriaville, QC",Victoriaville,Centre-du-Québec,Distributeur lait/crème,8,NS-10135,0,,,2026-07-15
NS-10136,preventif,CLSC Sorel-Tracy,"133 boulevard Fiset, Sorel-Tracy, QC",Sorel-Tracy,Montérégie,Boissons en fontaine,27,NS-10136,0,,,2026-07-01
NS-10137,preventif,Cafeteria industrielle Bécancour,"1329 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Panini,23,NS-10137,0,,,2026-07-01
NS-10138,preventif,Benny&Co — Boulevard Bécancour,"601 boulevard Bécancour, Bécancour, QC",Bécancour,Centre-du-Québec,Boissons en fontaine,27,NS-10138,0,,,2026-07-01
NS-10139,preventif,Aréna municipal Sherbrooke,"551 12e Avenue Nord, Sherbrooke, QC",Sherbrooke,Estrie,Distributeur lait/crème,8,NS-10139,0,,,2026-08-10
NS-10140,preventif,Starbucks Sherbrooke,"1252 rue King Est, Sherbrooke, QC",Sherbrooke,Estrie,Roller Grill,4,NS-10140,0,,,2026-08-01
NS-10141,preventif,McDonald's — Rue Cockburn,"1632 rue Cockburn, Drummondville, QC",Drummondville,Centre-du-Québec,Slush,42,NS-10141,0,,,2026-08-10
NS-10142,preventif,Tim Hortons Trois-Rivières,"193 rue des Forges, Trois-Rivières, QC",Trois-Rivières,Mauricie,Distributeur à sucre,20,NS-10142,0,,,2026-08-01
NS-10143,preventif,Tim Hortons Thetford Mines,"1108 rue Notre-Dame Est, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Four Micro-onde,13,NS-10143,0,,,2026-08-01
NS-10144,preventif,Couche-Tard Nicolet,"906 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,KIT ENTRETIEN,34,NS-10144,0,,,2026-07-15
NS-10145,preventif,École secondaire Shawinigan,"903 avenue de la Station, Shawinigan, QC",Shawinigan,Mauricie,Thermos,19,NS-10145,0,,,2026-08-01
NS-10146,preventif,Hôtel Le Dauphin — Boulevard Royal,"1868 boulevard Royal, Shawinigan, QC",Shawinigan,Mauricie,Café filtre,5,NS-10146,0,,,2026-07-15
NS-10147,preventif,Cafeteria industrielle Sherbrooke,"629 rue King Ouest, Sherbrooke, QC",Sherbrooke,Estrie,CT CUR-GEM3IF,32,NS-10147,0,,,2026-08-01
NS-10148,preventif,A&W — 9E Rue Sud,"1315 9e Rue Sud, Thetford Mines, QC",Thetford Mines,Chaudière-Appalaches,Boissons en fontaine,27,NS-10148,0,,,2026-07-15
NS-10149,preventif,Dollarama — Rue Notre-Dame,"1610 rue Notre-Dame, Nicolet, QC",Nicolet,Centre-du-Québec,Thé,21,NS-10149,0,,,2026-08-10
NS-10150,preventif,Cafeteria industrielle Nicolet,"1325 boulevard Louis-Fréchette, Nicolet, QC",Nicolet,Centre-du-Québec,Frigo à Condiments,18,NS-10150,0,,,2026-07-01
NS-10151,preventif,Benny&Co — Rue Heriot,"911 rue Heriot, Drummondville, QC",Drummondville,Centre-du-Québec,Grille-Pain,11,NS-10151,0,,,2026-07-15
NS-10152,preventif,Hôtel Le Dauphin — Boulevard Louis-Fréchette,"359 boulevard Louis-Fréchette, Nicolet, QC",Nicolet,Centre-du-Québec,Lassonde,39,NS-10152,0,,,2026-08-01
NS-10153,preventif,Aréna municipal Drummondville,"1191 rue Brock, Drummondville, QC",Drummondville,Centre-du-Québec,Distributeur à eau chaude,22,NS-10153,0,,,2026-08-10
NS-10154,preventif,Harvey's — Rue Marchand,"807 rue Marchand, Drummondville, QC",Drummondville,Centre-du-Québec,Polar-pop,33,NS-10154,0,,,2026-07-15
